idx,from_airport_id,to_airport_id,aircraft_id
483,MCO,RSW,SF3
484,MCO,TLH,SF3
485,MEI,ATL,SF3
486,MHH,FLL,SF3
487,MHH,JAX,SF3
488,MHH,MCO,SF3
489,MHH,PBI,SF3
490,MSL,ATL,SF3
491,PBI,ELH,SF3
492,PBI,MHH,SF3
493,PBI,TPA,SF3
494,PIB,ATL,SF3
495,PNS,MCO,SF3
496,PNS,TPA,SF3
497,RSW,EYW,SF3
498,RSW,MCO,SF3
499,TCB,FLL,SF3
500,TLH,MCO,SF3
501,TLH,TPA,SF3
502,TPA,EYW,SF3
503,TPA,FLL,SF3
504,TPA,GNV,SF3
505,TPA,JAX,SF3
506,TPA,PBI,SF3
507,TPA,PNS,SF3
508,TPA,TLH,SF3
509,TUP,ATL,SF3
510,TUP,GLH,SF3
511,AMS,NDR,320
512,AMS,TNG,320
513,BCN,CMN,320
514,BCN,NDR,320
515,BCN,TNG,320
516,BGY,CMN,320
517,BLQ,CMN,320
518,BRU,CMN,320
519,BRU,NDR,320
520,BRU,TNG,320
521,CGN,NDR,320
522,CMN,BCN,320
523,CMN,BGY,320
524,CMN,BLQ,320
525,CMN,BRU,320
526,CMN,CUF,320
527,CMN,LGW,320
528,CMN,LYS,320
529,CMN,MPL,320
530,CMN,SAW,320
531,CMN,TLS,320
532,CMN,TSF,320
533,CUF,CMN,320
534,FEZ,MPL,320
535,LGW,CMN,320
536,LGW,TNG,320
537,LYS,CMN,320
538,MPL,CMN,320
539,MPL,FEZ,320
540,MPL,NDR,320
541,NDR,AMS,320
542,NDR,BCN,320
543,NDR,BRU,320
544,NDR,CGN,320
545,NDR,MPL,320
546,NDR,PMI,320
547,PMI,NDR,320
548,SAW,CMN,320
549,TLS,CMN,320
550,TNG,AMS,320
551,TNG,BCN,320
552,TNG,BRU,320
553,TNG,LGW,320
554,TSF,CMN,320
555,AUA,LSP,SH6
556,AUA,MAR,SH6
557,BON,CUR,SH6
558,CUR,AUA,SH6
559,LSP,AUA,SH6
560,MAR,AUA,SH6
561,ASF,DME,SU9
562,ASF,LED,SU9
563,BHK,DME,734
564,DME,ASF,SU9
565,DME,BHK,734
566,DME,EGO,SU9
567,DME,FEG,734
568,DME,KSQ,734
569,DME,NMA,734
570,DME,NVI,734
571,DME,SKD,734
572,DME,TIV,SU9
573,EGO,DME,SU9
574,FEG,DME,734
575,KSQ,DME,734
576,LED,ASF,SU9
577,NMA,DME,734
578,NVI,DME,734
579,SKD,DME,734
580,TIV,DME,SU9
581,ANU,PTP,AT5
582,CAY,FDF,320
583,CUR,SDQ,AT5
584,DOM,PTP,AT5
